Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,highLowDiff,highbond,lowbond,range,atr,basicUpperBand,basicLowerBand
2022-01-17,CIPLA,EQ,921.5,915.6,920.2,909.0,909.65,910.2,912.7,1058857.0,96641427720000.0,40853.0,491431.0,0.46409999999999996,11.200000000000045,1.2999999999999545,12.5,12.5,,,
2022-01-18,CIPLA,EQ,910.2,910.2,914.6,898.45,901.6,902.15,902.69,1830577.0,165245055190000.0,60161.0,1078768.0,0.5893,16.149999999999977,4.399999999999977,11.75,16.149999999999977,,,
2022-01-19,CIPLA,EQ,902.15,900.05,901.6,885.1,897.0,895.65,894.17,1413292.0,126372986840000.02,48371.0,710160.0,0.5025000000000001,16.5,0.5499999999999545,17.049999999999955,17.049999999999955,,,
2022-01-20,CIPLA,EQ,895.65,895.0,899.9,880.05,883.5,882.35,885.85,1614683.0,143037198670000.0,66573.0,846202.0,0.5241,19.850000000000023,4.25,15.600000000000023,19.850000000000023,15.885714285714284,921.7464285714285,858.2035714285713
2022-01-21,CIPLA,EQ,882.35,880.0,880.0,860.0,867.3,867.45,868.29,1669132.0,144928437530000.0,69443.0,772641.0,0.4629,20.0,2.3500000000000227,22.350000000000023,22.350000000000023,15.903571428571427,901.8071428571428,838.1928571428572
2022-01-24,CIPLA,EQ,867.45,871.5,895.0,867.45,892.3,892.1,886.38,4992078.0,442488021014999.94,152825.0,611944.0,0.3045,27.549999999999955,27.549999999999955,0.0,27.549999999999955,16.642857142857135,914.5107142857142,847.9392857142858
2022-01-25,CIPLA,EQ,892.1,891.4,909.0,881.1,902.0,905.65,897.2,2322693.0,208392285750000.0,139393.0,648150.0,0.2791,27.899999999999977,16.899999999999977,11.0,27.899999999999977,17.721428571428564,930.4928571428571,859.6071428571428
2022-01-27,CIPLA,EQ,905.65,901.0,931.5,887.0,926.55,927.6,917.56,7859401.0,721146143065000.0,239337.0,3147924.0,0.40049999999999997,44.5,25.850000000000023,18.649999999999977,44.5,19.71071428571427,948.6714285714286,869.8285714285714
2022-01-28,CIPLA,EQ,927.6,926.55,942.0,917.45,930.6,932.25,935.94,2428175.0,227262599190000.0,77761.0,955881.0,0.3937,24.549999999999955,14.399999999999977,10.149999999999977,24.549999999999955,20.514285714285702,970.7535714285714,888.6964285714287
2022-01-31,CIPLA,EQ,932.25,939.0,950.0,930.65,945.0,945.0,945.4,2008278.0,189863586745000.0,65456.0,1006131.0,0.501,19.350000000000023,17.75,1.6000000000000227,19.350000000000023,21.2392857142857,982.8035714285714,897.8464285714286
2022-02-01,CIPLA,EQ,945.0,948.0,959.0,938.8,943.0,946.4,950.51,2033319.0,193268058620000.0,84016.0,1008044.0,0.4958,20.200000000000045,14.0,6.2000000000000455,20.200000000000045,22.057142857142846,993.0142857142856,904.7857142857143
2022-02-02,CIPLA,EQ,946.4,945.5,958.5,944.75,950.1,951.8,951.29,1735750.0,165120778180000.0,64293.0,785066.0,0.4523,13.75,12.100000000000023,1.6499999999999773,13.75,21.81071428571428,995.2464285714285,908.0035714285715
2022-02-03,CIPLA,EQ,951.8,953.0,957.0,944.55,950.2,952.75,952.03,1116446.0,106289550650000.0,76183.0,429153.0,0.38439999999999996,12.450000000000045,5.2000000000000455,7.25,12.450000000000045,21.060714285714287,992.8964285714286,908.6535714285714
2022-02-04,CIPLA,EQ,952.75,951.25,957.75,940.0,946.45,946.1,946.44,1428601.0,135209201530000.0,49334.0,679770.0,0.4758,17.75,5.0,12.75,17.75,21.135714285714283,991.1464285714286,906.6035714285714
2022-02-07,CIPLA,EQ,946.1,946.2,947.0,927.05,933.7,933.3,934.38,949273.0,88698561255000.0,48087.0,333381.0,0.35119999999999996,19.950000000000045,0.8999999999999773,19.050000000000068,19.950000000000045,21.667857142857144,980.3607142857143,893.6892857142857
2022-02-08,CIPLA,EQ,933.3,933.3,951.0,931.1,950.2,948.05,943.56,1812035.0,170976191950000.0,73666.0,750260.0,0.414,19.899999999999977,17.700000000000045,2.199999999999932,19.899999999999977,21.935714285714287,984.9214285714286,897.1785714285713
2022-02-09,CIPLA,EQ,948.05,954.8,972.5,950.25,967.0,968.25,965.24,2513281.0,242592623165000.0,85538.0,1153624.0,0.459,22.25,24.450000000000045,2.2000000000000455,24.450000000000045,22.464285714285722,1006.3035714285714,916.4464285714286
2022-02-10,CIPLA,EQ,968.25,969.0,977.35,963.0,973.45,975.05,973.06,2044733.0,198964780100000.0,93541.0,1150576.0,0.5627000000000001,14.350000000000023,9.100000000000023,5.25,14.350000000000023,22.07142857142858,1014.3178571428571,926.0321428571428
2022-02-11,CIPLA,EQ,975.05,956.5,976.05,953.0,956.5,958.5,958.86,1292417.0,123924839630000.0,53838.0,516441.0,0.3996,23.049999999999955,1.0,22.049999999999955,23.049999999999955,22.121428571428574,1008.7678571428571,920.2821428571428
2022-02-14,CIPLA,EQ,958.5,947.0,962.9,938.85,955.0,954.9,955.02,2346622.0,224106396219999.97,73322.0,1248164.0,0.5319,24.049999999999955,4.399999999999977,19.649999999999977,24.049999999999955,21.871428571428574,994.6178571428571,907.1321428571429
2022-02-15,CIPLA,EQ,954.9,916.55,938.8,912.3,920.9,921.85,923.21,8304774.0,766702146850000.0,125550.0,3237076.0,0.3898,26.5,16.100000000000023,42.60000000000002,42.60000000000002,22.921428571428578,971.3928571428571,879.7071428571428
2022-02-16,CIPLA,EQ,921.85,938.0,940.25,920.1,932.0,933.1,928.05,2480569.0,230209769540000.0,62192.0,889757.0,0.35869999999999996,20.149999999999977,18.399999999999977,1.75,20.149999999999977,21.18214285714286,972.5392857142857,887.8107142857142
2022-02-17,CIPLA,EQ,933.1,934.8,955.5,925.7,927.9,928.2,940.87,2843010.0,267491181735000.0,65672.0,784999.0,0.2761,29.799999999999955,22.399999999999977,7.399999999999977,29.799999999999955,21.55714285714286,983.7142857142858,897.4857142857143
2022-02-18,CIPLA,EQ,928.2,927.5,929.85,903.05,909.05,909.1,909.41,3643338.0,331327787830000.0,107668.0,1913314.0,0.5252,26.800000000000068,1.6499999999999773,25.15000000000009,26.800000000000068,22.089285714285722,960.6285714285715,872.2714285714286
2022-02-21,CIPLA,EQ,909.1,903.1,913.7,896.0,905.0,907.25,907.01,1860041.0,168708108970000.0,54653.0,785316.0,0.4222,17.700000000000045,4.600000000000023,13.100000000000023,17.700000000000045,21.910714285714295,948.6714285714286,861.0285714285715
2022-02-22,CIPLA,EQ,907.25,893.2,918.0,890.75,912.45,913.4,904.87,1884736.0,170544141275000.0,76092.0,799453.0,0.4242,27.25,10.75,16.5,27.25,22.875000000000007,950.125,858.625
2022-02-23,CIPLA,EQ,913.4,915.25,921.3,910.25,915.25,914.9,916.18,1399309.0,128202355109999.98,47176.0,704696.0,0.5036,11.049999999999955,7.899999999999977,3.1499999999999773,11.049999999999955,22.775000000000002,961.3249999999999,870.225
2022-02-24,CIPLA,EQ,914.9,899.8,908.75,888.15,895.0,895.8,897.05,2003438.0,179719153830000.0,71323.0,849193.0,0.4239,20.600000000000023,6.149999999999977,26.75,26.75,23.417857142857144,945.2857142857143,851.6142857142858
2022-02-25,CIPLA,EQ,895.8,903.0,926.7,890.95,926.0,923.65,911.02,2825642.0,257421977765000.0,73260.0,858791.0,0.3039,35.75,30.90000000000009,4.849999999999909,35.75,24.54642857142857,957.9178571428572,859.7321428571429
2022-02-28,CIPLA,EQ,923.65,920.05,929.95,911.0,926.7,925.05,923.83,1534018.0,141717405225000.0,63283.0,776874.0,0.5064,18.950000000000045,6.300000000000068,12.649999999999977,18.950000000000045,24.47857142857143,969.4321428571429,871.5178571428571
2022-03-02,CIPLA,EQ,925.05,911.1,931.3,911.1,923.2,923.1,922.05,3276260.0,302086362075000.0,72965.0,1722836.0,0.5259,20.199999999999932,6.25,13.949999999999932,20.199999999999932,24.174999999999994,969.5500000000001,872.85
2022-03-03,CIPLA,EQ,923.1,925.0,945.0,919.55,934.3,934.9,936.4,2622469.0,245568657194999.97,79014.0,1444715.0,0.5509000000000001,25.450000000000045,21.899999999999977,3.550000000000068,25.450000000000045,24.967857142857138,982.2107142857143,882.3392857142857
2022-03-04,CIPLA,EQ,934.9,929.0,941.0,920.25,932.05,931.2,933.84,2453781.0,229144006900000.0,104407.0,1220926.0,0.4976,20.75,6.100000000000023,14.649999999999977,20.75,24.803571428571427,980.2321428571429,881.0178571428571
2022-03-07,CIPLA,EQ,931.2,921.9,946.0,917.05,940.05,941.15,934.28,2604231.0,243307116515000.0,88703.0,1144257.0,0.4394,28.950000000000045,14.799999999999955,14.150000000000091,28.950000000000045,25.153571428571436,981.8321428571428,881.2178571428572
2022-03-08,CIPLA,EQ,941.15,938.0,977.0,935.4,974.25,969.55,961.55,5826939.0,560290596955000.0,111379.0,3055476.0,0.5244,41.60000000000002,35.85000000000002,5.75,41.60000000000002,25.082142857142863,1006.3642857142858,906.0357142857143
2022-03-09,CIPLA,EQ,969.55,969.55,987.55,960.05,981.5,981.55,979.44,3501351.0,342935679605000.0,95960.0,1823521.0,0.5208,27.5,18.0,9.5,27.5,25.607142857142865,1025.0142857142857,922.5857142857142
2022-03-10,CIPLA,EQ,981.55,982.05,992.9,975.0,985.0,987.05,985.08,4146797.0,408494670100000.0,95573.0,2440016.0,0.5884,17.899999999999977,11.350000000000023,6.5499999999999545,17.899999999999977,24.757142857142867,1033.4642857142858,934.4357142857143
2022-03-11,CIPLA,EQ,987.05,984.25,1053.75,981.35,1045.0,1043.95,1023.44,11106725.0,1136709973915000.0,211764.0,3266177.0,0.29410000000000003,72.39999999999998,66.70000000000005,5.699999999999932,72.39999999999998,28.014285714285716,1073.5785714285714,961.5214285714285
2022-03-14,CIPLA,EQ,1043.95,1045.0,1058.0,1036.75,1047.6,1048.65,1046.67,5590771.0,585171916100000.0,138196.0,2831151.0,0.5064,21.25,14.049999999999955,7.2000000000000455,21.25,28.267857142857142,1103.9107142857142,990.8392857142857
2022-03-15,CIPLA,EQ,1048.65,1045.0,1083.0,1045.0,1070.0,1068.05,1068.56,7945333.0,849009336220000.0,186096.0,3648237.0,0.45920000000000005,38.0,34.34999999999991,3.650000000000091,38.0,29.035714285714285,1122.0714285714287,1005.9285714285714
2022-03-16,CIPLA,EQ,1068.05,1077.0,1078.0,1049.15,1053.7,1055.8,1056.28,3379138.0,356930783550000.0,87930.0,1714828.0,0.5075000000000001,28.84999999999991,9.950000000000045,18.899999999999864,28.84999999999991,30.307142857142853,1124.1892857142857,1002.9607142857143
2022-03-17,CIPLA,EQ,1055.8,1056.0,1066.4,1045.7,1046.7,1048.5,1051.92,3712730.0,390549124205000.0,98533.0,1984386.0,0.5345000000000001,20.700000000000045,10.600000000000136,10.099999999999909,20.700000000000045,29.875,1115.8000000000002,996.3000000000002
0,,,,,,,,,,,,,,,,,,,,,
